"id","name","type","description","address","website","photos.0","category","directions","marker.lat","marker.lng","marker.icon","gmaps.min_zoom","gmaps.max_zoom","alternate_names.0","alternate_names.1","alternate_names.2","tags.0","tags.1","departments.0","departments.1","departments.2","departments.3","departments.4","departments.5","departments.6","departments.7","departments.8","departments.9","departments.10","departments.11","departments.12","departments.13","departments.14","departments.15","rooms.0","rooms.1","rooms.2","rooms.3","rooms.4","rooms.5","rooms.6","rooms.7","rooms.8","rooms.9"
"dietler_commons_formerly_the_u","Dietler Commons","place","The Dietler Commons is the large grassy area in front of McFarlin Library, and was the traditional entrance to the university. The open lawn with winding sidewalks and an iconic raised garden with seasonal flowers that spell out ""TU"" is the site for many outdoor gatherings and the annual Homecoming bonfire and festivities.","South Delaware Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1521427286,-95.9479755645,"star",16,,"The Old U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fisher_hall_east_pat_case_dining_center","Fisher Hall East / Pat Case Dining Center","place","Completely remodeled in 2010, this facility houses the Pat Case Dining Center as well as several offices for student and employee services. The exterior features a pavilion for dining al fresco, while the interior reflects a contemporary design with dark and light woods with bright and modern finishes.","2821 East 8th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1504645026,-95.9483332761,"food",17,,"The Caf",,,,,"Assessment Office","Environment Health and Safety","Housing and Dining Services","Human Resources","IT Web Services","Parking and Card Services","Tulsa Global Alliance",,,,,,,,,,,,,,,,,,,
"gilcrease_museum","Gilcrease Museum","place","Gilcrease Museum is one of the country's best facilities for the preservation and study of American art and history. The museum's charm, beauty and collections draw thousands of visitors from around the world to the hills just northwest of downtown Tulsa. Gilcrease Museum houses the world's largest, most comprehensive collection of art and artifacts of the American West. The museum also offers an unparalleled collection of Native American art and artifacts, as well as historical manuscripts, documents and maps. Beyond the extensive Gilcrease collections and exhibits are its beautiful facilities and gardens. Themed gardens have been developed on 23 of the museum's 460 acres.","1400 North Gilcrease Museum Road, Tulsa, Oklahoma 74127-2100",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.174487,-96.020985,"museum",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"harwell_hall","Harwell Hall","place","Harwell Gymnasium was completed in 1920 after Tulsa oilman E.P. Harwell donated $100,000 for its construction. It was renovated in 1966-67 and renamed Harwell Alumni Library. Currently, it houses the Department of Anthropology.","615 South Florence Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/334635/huge/47290d46382c41514309f8c14e700268b1777219.jpg","TU MAIN CAMPUS",,36.151489,-95.944786,"classroom",17,,,,,,,"Department of Anthropology",,,,,,,,,,,,,,,,,,,,,,,,,
"helmerich_center_for_american_research","Helmerich Center for American Research","place","The Helmerich Center for American Research, located adjacent to Gilcrease Museum, houses the Gilcrease Library and Archive containing nearly 100,000 rare books, documents, maps and unpublished works. The collection includes a vast archive of printed documents, dating back to the time of Columbus, that detail Spanish arrival in the New World, as well as documents that tell the stories of the New England colonies, westward expansion and the experiences of America's native peoples. The center enhances scholarship opportunities relating to Gilcrease Museum and its collection.","1400 North Gilcrease Museum Road, Tulsa, Oklahoma 74127-2100",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1732,-96.021285,"classroom",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"helmerich_hall","Helmerich Hall","place","Helmerich Hall is the home of the Collins College of Business. Renovations were completed in 2008. A front arch offers a grand entrance to welcome students and visitors and beautifully connects Helmerich Hall with the campus. A tower entrance was added on the north side the building, which has Gothic architectural elements that blend with the rest of campus. The college also renovated its interior spaces, adding comfortable public spaces for students to meet and study.","The University of Tulsa, 3102-3128 East 5th Street, Tulsa, OK 74104, USA",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.153233,-95.947166,"classroom",17,,,,,,,"School of Energy Economics, Policy and Commerce","School of Finance, Operations Management and International Business","Department of Management and Marketing","School of Accounting & Management Information Systems","Collins College of Business – Dean’s Office","Business Advising: Undergraduate & Graduate","Business Career Center","Center for Executive & Professional Development","Energy Management Center","Family-Owned Business Institute","Genave Rogers Business Law Center","Graduate Business Programs","Undergraduate Business Programs","Williams Student Services Center",,,,,,,,,,,,
"henneke_building","Henneke Building","place","Located just off of the main campus, the Henneke building is now used for small speaking engagements. It also houses important university archives, such as the Alumni Heritage collection, Continuing Engineering and Science Education offices and the Institute for Information Security.","1204 South Harvard Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.145798,-95.940697,"classroom",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"jackson_commons","Jackson Commons","place","This green space in front of the Roxana R�zsa and Robert Lorton Performance Center often hosts outdoor film screenings and special events.","550 South Gary Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1517113423,-95.9406657116,"classroom",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"kendall_hall","Kendall Hall","place","Kendall Hall features two fully equipped theaters, a scene shop, costume shop and computer design lab. Chapman Theatre has a proscenium thrust stage and seats 375. It is equipped with a computerized lighting board and sound system.","601 South College Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/281917/huge/7f347ff200c0f6b9ec28a4a12c2ae038e1d8ca8d.jpg","TU MAIN CAMPUS",,36.1519231495,-95.9452061607,"classroom",17,,,,,,,"Department of Theatre and Musical Theatre","KWGS","Theatre II","TUTV","Video Production",,,,,,,,,,,,"Box Office",,,,,,,,,
"keplinger_hall","Keplinger Hall","place","Keplinger Hall is home to the College of Engineering and Natural Sciences. It is equipped with labs, lecture rooms, faculty offices and study areas. Renovations are set to begin in 2015.","430 South Gary Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1539317426,-95.9419129276,"classroom",17,,,,,,,"Russell School of Chemical Engineering","Department of Chemistry and Biochemistry","Department of Mathematics","Department of Geosciences","Department of Physics and Engineering Physics","College of Engineering and Natural Sciences",,,,,,,,,,,,,,,,,,,,
"little_blue_house_833","Little Blue House","place","The Little Blue House is home to the United Campus Ministries. UCM is comprised of University of Tulsa students of all faiths and backgrounds � including those who are not sure if they have a faith. UCM is a �ministry of inclusion,� meaning that we believe everyone is a child of God and that all are welcome � regardless of faith tradition, race, gender, sexual orientation, national origin, age, ability or background.","2839 East 5th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/316041/huge/28371adc5afbcf1b92f45b55052d2380ed815351.jpg","CAMPUS MINISTRIES",,36.1538648228,-95.9475703644,"christian",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lorton_hall","Lorton Hall","place","The Department of Psychology is located in the recently renovated Lorton Hall, which contains offices, classrooms, research labs, study areas, and clinical training space.","2820 East 6th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1513516684,-95.9479511485,"classroom",17,,,,,,,"Department of Psychology","Center for Student Academic Support","Disability Assistance","Graduate School",,,,,,,,,,,,,,,,,,,,,,
"lorton_performance_center","Lorton Performance Center","place","The Roxana Rozsa and Robert Eugene Lorton Performance Center was completed in 2011. The facility includes the Herbert and Roseline Gussman Concert Hall with seating for 635 on two floors, as well as a full performance stage with ballet floor, scenery fly and trap room, a hydraulic orchestra pit, theatrical lighting and acoustical control booths. Guests enter through Ann and Jack Graves Grand Hall, an elegant and spacious lobby that serves as an art gallery and pre-function space for receptions and similar gatherings.\n\nLorton Performance Center web site","550 South Gary Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/302794/huge/86dcc146b12bc5614361d50648da231e18a2baac.jpg","TU MAIN CAMPUS",,36.1516955188,-95.9416984921,"theatre",16,,,,,"Facilities for Campus Events",,"Department of Film Studies","School of Music",,,,,,,,,,,,,,,"Gussman Concert Hall",,,,,,,,,
"mabee_legal_information_center","Mabee Legal Information Center","place","The MLIC offers the latest library technologies in a comfortable, spacious and attractive research environment for law students, faculty and attorneys. The center also provides space for both law school journal offices, the Board of Advocates, the Utsey Family Native American Law Center, Comparative and International Law room, an Alternative Dispute Resolution Center, an Alumni Conference room and many group study rooms.","407 South Florence Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1540446398,-95.9443612331,"library",18,,,,,,,"Law Library","Petroleum Abstracts","Student Journal Offices","Writing Program Suite",,,,,,,,,,,,,,,,,,,,,,
"mary_k_chapman_center","Mary K. Chapman Center","place","The Mary K. Chapman Center for Communicative Disorders provides professional audiology and speech-language pathology services to individuals of all ages. The center is located in a well-equipped building that is accessible to all persons with disabilities.","2820 East 5th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.153439,-95.948296,"classroom",18,,,,,,,"Department of Communication Sciences & Disorders","Deaf Education","Department of Speech-Language Pathology",,,,,,,,,,,,,,,,,,,,,,,
"mcclure_hall","McClure Hall","place","Dedicated in the spring of 1959 as part of the inaugural week celebration of Dr. Ben Henneke, McClure Hall once housed the president's office, but now offices of the controller, registrar and research can be found there.","2905 East 7th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1510880528,-95.9473714577,"classroom",18,,,,,,,"Accounts Payable","Business Office","Controller’s Office","Institutional Research","Registration and Records","Office of Research and Sponsored Programs",,,,,,,,,,,,,,,,,,,,
"mcfarlin_library","McFarlin Library","place","McFarlin Library is the academic heart of the university. Here you will find the Pauline M. Walter Academic Technology Center, library's reading rooms, Gray Student Commons, Ann and Jack Graves Faculty Study, the Cort and Martha Dietler Cafe and the Jack and Tybie Davis Satin Rare Book Room.","2933  East 6th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/340165/huge/890be479af119d2a78ef5d72cbb983f6d9211145.jpg","TU MAIN CAMPUS",,36.1522698452,-95.9459790086,"library",16,,,,,,,"Academic Computing","Acquisitions","Circulation/Reserves","Faculty Resource Center","Government Documents","Honors Program","Interlibrary Loan","Library Administration","Media Services","National Scholarships","Petroleum Abstracts Document Delivery Service","Reference/Serials","Satin Rare Book Room","TU Copy","Writing Center","Special Collections","Computer Laboratories","Dietler Cafe","Graves Faculty Study",,,,,,,
"north_campus_615","North Campus","place","The goal of North Campus is to explore innovations for the petroleum industry and foster learning by students, researchers, private industry and governments. The land and buildings were donated to the university by the Humble Oil and Refining Company in 1965.","2450 East Marshall Street, Tulsa, Oklahoma 74110-4726",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.171436,-95.955254,"classroom",12,,,,,"TUCFP","TUDCP","Apline Building","ARCO Building","Drill Building","Drill Lab","Gas Lift Valve Test Facility","Machine Shop","M.E. Hybrid/Electric Cars","Process Building","Special Projects Building","Test Well","Cold Flow Projects","Dynamic Test Facility","Erosion/Corrosion Research Center","Hydrate Remediation Projects","Saudi Aramco Research Center",,,,,,,,,,,
"oliphant_hall","Oliphant Hall","place","Home to the Department of Languages, as well as the Department of Biological Science, Oliphant Hall includes a language lab, science classrooms, an auditorium, a rooftop greenhouse and a small inner courtyard garden.","3015 East 7th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.151062,-95.945419,"classroom",17,,,,,,,"Department of Communication","Department of Languages","Department of Biological Science",,,,,,,,,,,,,,,,,,,,,,,
"college_of_health_sciences_851","Oxley Health Sciences Facilities","place",,"1215 S. Boulder Ave., Tulsa, OK, 74119",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.144484,-95.987854,"classroom",12,,,,,,,"Department of Kinesiology and Rehabilitative Sciences","School of Nursing",,,,,,,,,,,,,,,,,,,,,,,,
"phillips_hall_166","Phillips Hall","place","Phillips Hall houses the School of Art and the Alexandre Hogue Gallery. Classrooms and studio space provide students with a diverse variety of learning opportunities. Phillips Hall, which originally housed the program of petroleum engineering, is one of the oldest buildings on campus.","2930 East 5th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1529010112,-95.9464950466,"classroom",17,,,,,,,"School of Art",,,,,,,,,,,,,,,,,,,,,,,,,
"rayzor_hall","Rayzor Hall","place","J. Newton Rayzor Hall houses the Tandy School of Computer Science and Department of Electrical and Computer Engineering. Located east of the Student Union, Rayzor Hall includes 24 integrated classrooms and teaching/research laboratories, 33 faculty and graduate student offices, two conference rooms, and five student commons areas with a student organizations office.","East 5th Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1531041826,-95.9427271399,"classroom",17,,,,,,,"Tandy School of Computer Science","Department of Electrical and Computer Engineering","Erosion/Corrosion Research Center",,,,,,,,,,,,,,,,,,,,,,,
"samson_plaza","Samson Plaza","place","This 1.5-acre plaza connects Keplinger, Rayzor and Stephenson halls. Funded through a gift from Samson, the plaza honors the memory of the late Charles Schusterman. The outdoor space welcomes students and visitors with the following amenities: fountain with black granite base, vintage acorn lamps, oak and crape myrtle trees and seasonal flower beds.","East 5th Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1535414915,-95.9428295939,"star",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sharp_plaza","Sharp Plaza","place","Located between McFarlin Library and Sharp Chapel in the heart of campus, Sharp Plaza often is a hub of activity between classes.","2940 East 6ht Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1518520108,-95.946129,"star",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stephenson_hall","Stephenson Hall","place","Stephenson Hall houses the McDougall School of Petroleum Engineering and Department of Mechanical Engineering. Located on the corner of Gary and 5th Places, it features 16 integrated classrooms and teaching/research laboratories, 34 faculty and graduate student offices, four student commons areas, a conference room and a student organizations office.","3205 East 5th Place, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1530833483,-95.9420742712,"classroom",17,,,,,,,"Department of Mechanical Engineering","McDougall School of Petroleum Engineering",,,,,,,,,,,,,,,,,,,,,,,,
"student_union","Student Union","place","Allen Chapman Student Union is a 78,000-square-foot, two-story building with a center atrium that is home to nine food venues. The Union is one of the primary sites that accommodates the event-related needs of the university and, on a more limited basis, those of community friends. Renovations completed in 2014 feature a food court and redesigned entrances. Lecture rooms received facelifts and outdoor patio space around the building was completed in 2015.","3135 East 5th Place, Tulsa, OK  74104",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1534155312,-95.943567373,"food",16,,"Allen Chapman Activity Center","The ACAC","Allen Chapman Student Union",,,"ATM ","C-Store","Dining Services Administration","Faculty Club Lounge","Food Court","Hurricane Hut Sports Bar & Grill","International Student Services","Mail Services","Mail Boxes","Student Association","Summer Conference Services","Volunteer Student Center",,,,,"Administrative Conference Room","Chouteau Room","Gallery Hall","Great Hall",,,,,,
"university_of_tulsa","The University of Tulsa","place","The university!","800 South Tucker Drive, Tulsa, Oklahoma 74104-9700","https://utulsa.edu",,"TU MAIN CAMPUS","800 S Tucker Dr, Tulsa, OK 74104",36.1508425996,-95.9448471164,"classroom",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"true_blue_house_590","True Blue House","place",,"3126 E 5th Pl Tulsa, OK 74104",,"http://images-cf.localist.com/photos/348985/huge/2d2d61e95b85b218c0c198f2fb656f04b3793321.jpg","TU MAIN CAMPUS",,36.1524665468,-95.9438257669,"star",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tyrrell_hall","Tyrrell Hall","place","Tyrrell Hall is home to six state-of-the-art multimedia classrooms. Envisioned as a teaching laboratory, Tyrrell offers a place where faculty can experiment with technology and explore how it might enhance and extend classroom interactions both near and far. Two classrooms accommodate small seminars of 10-15 students; two classrooms are suited to classes with 18-20 students; one classroom accommodates 30 students; and the Ellen G. Adelson Auditorium will seat 108.","2930 East 6th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.151527,-95.946854,"classroom",18,,,,,,,"Oklahoma Center for the Humanities",,,,,,,,,,,,,,,,"Ellen G. Adelson Auditorium",,,,,,,,,
"university_school","University School","place","University School is a private school, serving academically talented children ages 3 through 13 (eighth grade). USchool serves as a national model of excellence in pre-college education for students of high academic potential by working with them to enhance academic achievement, develop personal and community responsibility and foster creativity.","326 South College Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/photos/396921/huge/01effee0f8cb7f68a29008a777520a63a4b851d2.jpg","TU MAIN CAMPUS",,36.1552416866,-95.9466908479,"school",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"westby_hall","Westby Hall","place","The offices of Institutional Advancement and the Golden Hurricane Club are housed in Westby.","710 South College Avenue, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.150475,-95.9466377669,"classroom",18,,,,,,,"Development","Donor Services","Golden Hurricane Club","University Relations",,,,,,,,,,,,,,,,,,,,,,
"zarrow_center_for_art_education","Zarrow Center for Art & Education","place","In the midst of the revitalized downtown Brady Arts District is the Henry Zarrow Center for Art & Education, which serves TU's School of Art and Gilcrease Museum. The Zarrow Center includes classrooms, art studios, gallery space and a reception area for events.","124 East M.B. Brady Street, Tulsa, Oklahoma 74103-2014",,"http://images-cf.localist.com/photos/340090/huge/483786c5665e3840e8f35736711991494a1dc93f.jpg","TU MAIN CAMPUS",,36.158813,-95.991516,"art-gallery",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"zink_hall","Zink Hall","place","This building is home to several departments including English, Continuing Education and Information Technology.","3101 East 7th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","TU MAIN CAMPUS",,36.1510314921,-95.9446142245,"classroom",17,,,,,,,"Department of English","Administrative Computing","Continuing Education","Data Networking & Communication Services","Information Technology Administration","IT Client Services","IT Security","IT System Ops and Services","Legal Assistant Program","NIMROD Journal",,,,,,,,,,,,,,,,
"7th_street_house","7th Street House","place","The International Living Community (ILC) is located in LaFortune and 7th Street Houses near the engineering complex, the Lorton Performance Center, H.A. Chapman Stadium and the Reynolds Center. The ILC offers many attractive conveniences including a small refrigerator in each room. The facility has a private female floor with a lounge for laundry, study and recreation. Weekly dinners offer a variety of cultures and/or guest speakers, and there are monthly excursions featuring the intercultural experiences that Tulsa and the surrounding area have to offer.","3211 East 7th Street, Tulsa, Oklahoma 74104-9700",,"http://images-cf.localist.com/assets/main/business_huge-c0846f6f497bda77b914557561c412e0.png","STUDENT HOUSING",,36.151096,-95.942131,"housing",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
